Timeline Trace
Generated on: 2020-12-06 20:04:11
Msec since Epoch: 1607313851166
Profiled application: host
Target platform: Xilinx
Tool version: 2020.2
XRT build version: 2.8.743
Build version branch: 2020.2
Build version hash: 77d5484b5c4daa691a7f78235053fb036829b1e9
Build version date: N/A 


Time_msec,Name,Event,Address_Port,Size,Latency_cycles,Start_cycles,End_cycles,Latency_usec,Start_msec,End_msec,
6216.033303,clGetPlatformIDs|General,START,,,,,,,,,,,0,
6216.066811,clGetPlatformIDs|General,END,,,,,,,,,,,0,
6216.073187,clGetPlatformIDs|General,START,,,,,,,,,,,1,
6216.077168,clGetPlatformIDs|General,END,,,,,,,,,,,1,
6216.084185,clGetPlatformInfo|General,START,,,,,,,,,,,2,
6216.088349,clGetPlatformInfo|General,END,,,,,,,,,,,2,
6216.091748,clGetPlatformInfo|General,START,,,,,,,,,,,3,
6216.095157,clGetPlatformInfo|General,END,,,,,,,,,,,3,
6216.121734,clGetDeviceIDs|General,START,,,,,,,,,,,4,
6216.130228,clGetDeviceIDs|General,END,,,,,,,,,,,4,
6216.133877,clGetDeviceIDs|General,START,,,,,,,,,,,5,
6216.137292,clGetDeviceIDs|General,END,,,,,,,,,,,5,
6216.142325,clRetainDevice|General,START,,,,,,,,,,,6,
6216.146172,clRetainDevice|General,END,,,,,,,,,,,6,
6216.150197,clRetainDevice|General,START,,,,,,,,,,,7,
6216.153565,clRetainDevice|General,END,,,,,,,,,,,7,
6216.157071,clGetDeviceInfo|General,START,,,,,,,,,,,8,
6217.250711,clGetDeviceInfo|General,END,,,,,,,,,,,8,
6217.260234,clGetDeviceInfo|General,START,,,,,,,,,,,9,
6217.265468,clGetDeviceInfo|General,END,,,,,,,,,,,9,
6217.277932,clCreateContext|General,START,,,,,,,,,,,10,
6218.276506,clCreateContext|General,END,,,,,,,,,,,10,
6218.286168,clCreateCommandQueue|General,START,,,,,,,,,,,11,
6218.296108,clCreateCommandQueue|General,END,,,,,,,,,,,11,
6237.692904,clCreateProgramWithBinary|General,START,,,,,,,,,,,12,
6791.299568,clCreateProgramWithBinary|General,END,,,,,,,,,,,12,
Footer,begin
Project,,
Stall profiling,false,
Target,Software Emulation,
Platform,,
Device,xilinx:pcie-hw-em:7v3:1.0-0,begin
DDR Banks,begin
Bank,0,0X000000000
DDR Banks,end
Device,xilinx:pcie-hw-em:7v3:1.0-0,end
Footer,end

